DateTime,Total Volume,Price
2013-01-21T00:00:00.000Z,1575299.7260189329,17.06142857142857
2013-01-28T00:00:00.000Z,1850768.1865235998,19.662142857142857
2013-02-04T00:00:00.000Z,1854963.0056636087,21.781428571428567
2013-02-11T00:00:00.000Z,1289237.9388214457,25.613571428571426
2013-02-18T00:00:00.000Z,1359154.4729408745,29.097857142857144
2013-02-25T00:00:00.000Z,1514882.7851252102,32.40785714285714
2013-03-04T00:00:00.000Z,1482334.1230996714,41.79071428571428
2013-03-11T00:00:00.000Z,1964269.242254103,46.154999999999994
2013-03-18T00:00:00.000Z,1942832.0926495215,62.17857142857143
2013-03-25T00:00:00.000Z,1826176.3045308215,84.41428571428571
2013-04-01T00:00:00.000Z,1883841.1191172414,128.37571428571428
2013-04-08T00:00:00.000Z,1827813.016819854,147.01428571428573
2013-04-15T00:00:00.000Z,2049258.700061774,99.89785714285713
2013-04-22T00:00:00.000Z,1371264.5258921855,135.54214285714286
2013-04-29T00:00:00.000Z,1014730.5104344029,117.6592857142857
2013-05-06T00:00:00.000Z,787515.1524727072,113.34857142857143
2013-05-13T00:00:00.000Z,772553.1400544614,117.62999999999998
2013-05-20T00:00:00.000Z,649952.95759377,126.57500000000002
2013-05-27T00:00:00.000Z,627373.3615208572,128.07428571428568
2013-06-03T00:00:00.000Z,661384.34772355,114.745
2013-06-10T00:00:00.000Z,559575.3711896343,103.64000000000001
2013-06-17T00:00:00.000Z,574497.2295481771,107.72285714285715
2013-06-24T00:00:00.000Z,589451.9918882771,100.70714285714287
2013-07-01T00:00:00.000Z,813742.4770203627,79.94071428571428
2013-07-08T00:00:00.000Z,946146.2770544244,86.74642857142855
2013-07-15T00:00:00.000Z,793306.8623136558,94.15214285714286
2013-07-22T00:00:00.000Z,786324.7719087284,94.85214285714285
2013-07-29T00:00:00.000Z,838130.9496391542,104.46857142857142
2013-08-05T00:00:00.000Z,674217.3709711042,104.7907142857143
2013-08-12T00:00:00.000Z,1025709.332898077,110.02071428571428
2013-08-19T00:00:00.000Z,876647.4294187486,120.50285714285714
2013-08-26T00:00:00.000Z,1082164.7113414372,132.80071428571426
2013-09-02T00:00:00.000Z,756063.9173027972,134.63714285714286
2013-09-09T00:00:00.000Z,691546.7498346815,137.37642857142856
2013-09-16T00:00:00.000Z,661193.8450737286,136.7942857142857
2013-09-23T00:00:00.000Z,757233.885895367,137.72714285714287
2013-09-30T00:00:00.000Z,814170.0003330858,134.65785714285715
2013-10-07T00:00:00.000Z,758127.5916932215,139.8542857142857
2013-10-14T00:00:00.000Z,911870.3032189028,162.6657142857143
2013-10-21T00:00:00.000Z,1200097.8787620587,198.85214285714287
2013-10-28T00:00:00.000Z,802057.9726887984,211.52714285714288
2013-11-04T00:00:00.000Z,998725.1008998071,294.57214285714286
2013-11-11T00:00:00.000Z,1357930.381448593,420.3478571428572
2013-11-18T00:00:00.000Z,1960293.1301001727,713.5907142857143
2013-11-25T00:00:00.000Z,2597762.5913530327,1029.047142857143
2013-12-02T00:00:00.000Z,1464951.9463166145,978.3657142857143
2013-12-09T00:00:00.000Z,868633.6695685027,921.5464285714287
2013-12-16T00:00:00.000Z,1411238.2032480587,682.04
2013-12-23T00:00:00.000Z,737893.7218857358,738.4121428571428
2013-12-30T00:00:00.000Z,719792.1240406914,852.6885714285714
2014-01-06T00:00:00.000Z,676457.2486894929,957.1642857142857
2014-01-13T00:00:00.000Z,548686.4334407301,921.1728571428572
2014-01-20T00:00:00.000Z,574740.9639856699,954.467857142857
2014-01-27T00:00:00.000Z,560980.8033114729,946.0814285714285
2014-02-03T00:00:00.000Z,666917.6235073857,816.6714285714286
2014-02-10T00:00:00.000Z,727212.1387317915,484.1564285714286
2014-02-17T00:00:00.000Z,481444.88129800867,246.30571428571426
2014-02-24T00:00:00.000Z,730926.24298682,443.51785714285717
2014-03-03T00:00:00.000Z,1202420.2502923172,634.2078571428573
2014-03-10T00:00:00.000Z,848536.2014065144,619.2485714285714
2014-03-17T00:00:00.000Z,907799.5831224285,579.7357142857143
2014-03-24T00:00:00.000Z,624201.7142342429,515.2564285714286
2014-03-31T00:00:00.000Z,689760.4026488902,445.5300000000001
2014-04-07T00:00:00.000Z,567479.4685542085,444.1478571428571
2014-04-14T00:00:00.000Z,653129.5196300715,497.5092857142857
2014-04-21T00:00:00.000Z,562455.5051721142,482.34642857142853
2014-04-28T00:00:00.000Z,532690.8463272571,443.78499999999997
2014-05-05T00:00:00.000Z,842215.94557953,441.59499999999997
2014-05-12T00:00:00.000Z,600045.478784797,444.58214285714286
2014-05-19T00:00:00.000Z,933117.2731230913,499.06857142857143
2014-05-26T00:00:00.000Z,786016.8587119842,591.1742857142857
2014-06-02T00:00:00.000Z,896114.3562011628,649.1528571428571
2014-06-09T00:00:00.000Z,612056.5352320872,619.6214285714285
2014-06-16T00:00:00.000Z,587172.787312115,599.3600000000001
2014-06-16T00:00:00.000Z,494985.61081433506,596.5250000000001
2014-06-23T00:00:00.000Z,528842.0101892985,589.8464285714284
2014-06-30T00:00:00.000Z,616043.6322407972,630.1400000000001
2014-07-07T00:00:00.000Z,457133.84122407145,622.5435714285715
2014-07-14T00:00:00.000Z,464358.8756568943,622.9342857142857
2014-07-21T00:00:00.000Z,407399.57347133424,611.0685714285715
2014-07-28T00:00:00.000Z,444237.83075824,585.9942857142858
2014-08-04T00:00:00.000Z,430232.89345441,592.3721428571428
2014-08-11T00:00:00.000Z,671471.4497294057,532.2871428571428
2014-08-18T00:00:00.000Z,1039546.0481360916,498.02714285714285
2014-08-25T00:00:00.000Z,945802.7123716787,508.45714285714286
2014-09-01T00:00:00.000Z,488479.9383066971,483.935
2014-09-08T00:00:00.000Z,444223.49242167716,477.6542857142857
2014-09-15T00:00:00.000Z,620804.41021133,438.17714285714294
2014-09-22T00:00:00.000Z,638186.4443983671,410.1628571428572
2014-09-29T00:00:00.000Z,711565.5057984515,367.2864285714286
2014-10-06T00:00:00.000Z,845158.6423886229,350.45714285714286
2014-10-13T00:00:00.000Z,842992.7491939871,386.5785714285715
2014-10-20T00:00:00.000Z,837941.3665024143,367.0314285714286
2014-10-27T00:00:00.000Z,853404.93128067,340.71428571428567
2014-11-03T00:00:00.000Z,841636.5170825,338.61642857142857
2014-11-10T00:00:00.000Z,985990.8184940642,392.3114285714286
2014-11-17T00:00:00.000Z,930290.9488095315,371.4078571428572
2014-11-24T00:00:00.000Z,1018208.3870226573,375.3764285714286
2014-12-01T00:00:00.000Z,1080714.3723608956,376.47285714285715
2014-12-08T00:00:00.000Z,1035066.8718895186,353.6257142857143
2014-12-15T00:00:00.000Z,958383.7592669113,326.8957142857143
2014-12-22T00:00:00.000Z,856597.0495125084,324.5957142857143
2014-12-29T00:00:00.000Z,860796.3463827285,306.72928571428577
2015-01-05T00:00:00.000Z,1209149.2734756914,279.80071428571426
2015-01-12T00:00:00.000Z,1693461.4849295274,217.5307142857143
2015-01-19T00:00:00.000Z,1176452.8964219415,227.41285714285715
2015-01-26T00:00:00.000Z,1090829.9674751044,243.51071428571433
2015-02-02T00:00:00.000Z,996970.8426894314,226.74928571428572
2015-02-09T00:00:00.000Z,829613.5118778957,229.16857142857143
2015-02-16T00:00:00.000Z,713402.1968834971,239.94642857142858
2015-02-23T00:00:00.000Z,994185.3116961502,242.64357142857145
2015-03-02T00:00:00.000Z,1325130.3783630785,273.0657142857143
2015-03-09T00:00:00.000Z,933258.5742032629,288.99571428571426
2015-03-16T00:00:00.000Z,904712.3806587943,269.2421428571429
2015-03-23T00:00:00.000Z,875727.7664155399,250.6521428571428
2015-03-30T00:00:00.000Z,750205.416348783,248.9857142857143
2015-04-06T00:00:00.000Z,783462.5703139228,244.1792857142857
2015-04-13T00:00:00.000Z,975840.6411723314,223.78500000000003
2015-04-20T00:00:00.000Z,1191143.1712873927,229.11214285714286
2015-04-27T00:00:00.000Z,1145654.4791097587,231.61571428571432
2015-05-04T00:00:00.000Z,1128384.686670153,238.44499999999996
2015-05-11T00:00:00.000Z,962771.7789823728,238.16642857142855
2015-05-18T00:00:00.000Z,1025036.2492680901,236.24571428571426
2015-05-25T00:00:00.000Z,1008439.9345401499,236.17428571428573
2015-06-01T00:00:00.000Z,1293542.7781392373,225.03857142857146
2015-06-08T00:00:00.000Z,1248078.05425812,229.9892857142857
2015-06-15T00:00:00.000Z,1527092.9673241458,244.74500000000003
2015-06-22T00:00:00.000Z,1142912.2331056958,244.53714285714287
2015-06-29T00:00:00.000Z,1285082.6082045916,258.4814285714286
2015-07-06T00:00:00.000Z,1395276.047585637,278.97285714285715
2015-07-13T00:00:00.000Z,1174261.8102211314,281.19214285714287
2015-07-20T00:00:00.000Z,989423.555060277,280.6264285714286
2015-07-27T00:00:00.000Z,986338.149113327,286.76214285714286
2015-08-03T00:00:00.000Z,1183720.1344818256,276.3664285714286
