DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2009-05-18T00:00:00.000Z,118,118,,
2009-05-19T00:00:00.000Z,86,86,,
2009-05-20T00:00:00.000Z,120,120,,
2009-05-21T00:00:00.000Z,82,82,,
2009-05-22T00:00:00.000Z,61,61,,
2009-05-23T00:00:00.000Z,32,32,,
2009-05-24T00:00:00.000Z,100,100,,
2009-05-25T00:00:00.000Z,109,109,,
2009-05-26T00:00:00.000Z,125,125,,
2009-05-27T00:00:00.000Z,119,119,,
2009-05-28T00:00:00.000Z,95,95,,
2009-05-29T00:00:00.000Z,106,167,60,
2009-05-30T00:00:00.000Z,109,109,,
2009-05-31T00:00:00.000Z,96,96,,
2009-06-01T00:00:00.000Z,72,73,,
2009-06-02T00:00:00.000Z,111,111,,
2009-06-03T00:00:00.000Z,71,71,,
2009-06-04T00:00:00.000Z,66,66,,
2009-06-05T00:00:00.000Z,30,30,,
2009-06-06T00:00:00.000Z,28,28,,
2009-06-07T00:00:00.000Z,16,16,,
2009-06-08T00:00:00.000Z,82,82,,
2009-06-09T00:00:00.000Z,91,91,,
2009-06-10T00:00:00.000Z,82,82,,
2009-06-11T00:00:00.000Z,89,89,,
2009-06-12T00:00:00.000Z,86,86,,
2009-06-13T00:00:00.000Z,78,78,,
2009-06-14T00:00:00.000Z,72,72,,
2009-06-15T00:00:00.000Z,84,84,,
2009-06-16T00:00:00.000Z,71,71,,
2009-06-17T00:00:00.000Z,79,79,,
2009-06-18T00:00:00.000Z,80,80,,
2009-06-19T00:00:00.000Z,87,87,,
2009-06-20T00:00:00.000Z,78,78,,
2009-06-21T00:00:00.000Z,81,81,,
2009-06-22T00:00:00.000Z,76,137,60,
2009-06-23T00:00:00.000Z,76,76,,
2009-06-24T00:00:00.000Z,96,100,2,
2009-06-25T00:00:00.000Z,68,89,20,
2009-06-26T00:00:00.000Z,90,90,,
2009-06-27T00:00:00.000Z,84,84,,
2009-06-28T00:00:00.000Z,47,48,,
2009-06-29T00:00:00.000Z,84,85,,
2009-06-30T00:00:00.000Z,85,89,3,
2009-07-01T00:00:00.000Z,74,77,2,
2009-07-02T00:00:00.000Z,84,85,,
2009-07-03T00:00:00.000Z,82,82,,
2009-07-04T00:00:00.000Z,89,89,,
2009-07-05T00:00:00.000Z,79,79,,
2009-07-06T00:00:00.000Z,84,84,,
2009-07-07T00:00:00.000Z,69,69,,
2009-07-08T00:00:00.000Z,74,74,,
2009-07-09T00:00:00.000Z,86,86,,
2009-07-10T00:00:00.000Z,81,81,,
2009-07-11T00:00:00.000Z,83,83,,
2009-07-12T00:00:00.000Z,77,77,,
2009-07-13T00:00:00.000Z,78,78,,
2009-07-14T00:00:00.000Z,69,69,,
2009-07-15T00:00:00.000Z,45,45,,
2009-07-16T00:00:00.000Z,71,71,,
2009-07-17T00:00:00.000Z,47,47,,
2009-07-18T00:00:00.000Z,4,4,,
2009-07-19T00:00:00.000Z,70,70,,
2009-07-20T00:00:00.000Z,70,192,120,
2009-07-21T00:00:00.000Z,82,82,,
2009-07-22T00:00:00.000Z,60,60,,
2009-07-23T00:00:00.000Z,76,76,,
2009-07-24T00:00:00.000Z,73,73,,
2009-07-25T00:00:00.000Z,32,32,,
2009-07-26T00:00:00.000Z,21,21,,
2009-07-27T00:00:00.000Z,74,74,,
2009-07-28T00:00:00.000Z,41,41,,
2009-07-29T00:00:00.000Z,20,22,2,
2009-07-30T00:00:00.000Z,16,17,,
2009-07-31T00:00:00.000Z,17,17,,
2009-08-01T00:00:00.000Z,28,28,,
2009-08-02T00:00:00.000Z,23,23,,
2009-08-03T00:00:00.000Z,12,12,,
2009-08-04T00:00:00.000Z,81,81,,
2009-08-05T00:00:00.000Z,87,87,,
2009-08-06T00:00:00.000Z,90,90,,
2009-08-07T00:00:00.000Z,80,192,110,
2009-08-08T00:00:00.000Z,80,80,,
2009-08-09T00:00:00.000Z,101,101,,
2009-08-10T00:00:00.000Z,75,75,,
2009-08-11T00:00:00.000Z,70,70,,
2009-08-12T00:00:00.000Z,63,63,,
2009-08-13T00:00:00.000Z,85,85,,
2009-08-14T00:00:00.000Z,63,63,,
2009-08-15T00:00:00.000Z,26,26,,
2009-08-16T00:00:00.000Z,19,19,,
2009-08-17T00:00:00.000Z,17,17,,
2009-08-18T00:00:00.000Z,10,10,,
2009-08-19T00:00:00.000Z,18,18,,
2009-08-20T00:00:00.000Z,22,22,,
2009-08-21T00:00:00.000Z,14,14,,
2009-08-22T00:00:00.000Z,7,7,,
2009-08-23T00:00:00.000Z,15,15,,
2009-08-24T00:00:00.000Z,15,15,,
2009-08-25T00:00:00.000Z,50,50,,
2009-08-26T00:00:00.000Z,49,96,46,
2009-08-27T00:00:00.000Z,29,29,,
2009-08-28T00:00:00.000Z,75,75,,
2009-08-29T00:00:00.000Z,78,78,,
2009-08-30T00:00:00.000Z,97,99,1,
2009-08-31T00:00:00.000Z,86,93,6,
2009-09-01T00:00:00.000Z,78,78,,
2009-09-02T00:00:00.000Z,66,66,,
2009-09-03T00:00:00.000Z,61,76,14,
2009-09-04T00:00:00.000Z,64,64,,
2009-09-05T00:00:00.000Z,76,76,,
2009-09-06T00:00:00.000Z,68,68,,
2009-09-07T00:00:00.000Z,78,92,13,
2009-09-08T00:00:00.000Z,69,69,,
2009-09-09T00:00:00.000Z,54,54,,
2009-09-10T00:00:00.000Z,67,67,,
2009-09-11T00:00:00.000Z,67,67,,
2009-09-12T00:00:00.000Z,69,69,,
2009-09-13T00:00:00.000Z,75,75,,
2009-09-14T00:00:00.000Z,74,74,,
2009-09-15T00:00:00.000Z,44,44,,
2009-09-16T00:00:00.000Z,72,74,1,
2009-09-17T00:00:00.000Z,84,186,100,
