"DateTime","Netflow","Price"
"2008-12-29 00:00:00",50,
"2009-01-05 00:00:00",8400,
"2009-01-12 00:00:00",40479,
"2009-01-19 00:00:00",2725,
"2009-01-26 00:00:00",2750,
"2009-02-02 00:00:00",1998,
"2009-02-09 00:00:00",3300.04,
"2009-02-16 00:00:00",2700,
"2009-02-23 00:00:00",2150,
"2009-03-02 00:00:00",3200.33,
"2009-03-09 00:00:00",750,
"2009-03-16 00:00:00",4250,
"2009-03-23 00:00:00",2400,
"2009-03-30 00:00:00",2450,
"2009-04-06 00:00:00",650,
"2009-04-13 00:00:00",400,
"2009-04-20 00:00:00",6500,
"2009-04-27 00:00:00",1698.5,
"2009-05-04 00:00:00",2000,
"2009-05-11 00:00:00",500,
"2009-05-18 00:00:00",0,
"2009-05-25 00:00:00",3000,
"2009-06-01 00:00:00",0,
"2009-06-08 00:00:00",0,
"2009-06-15 00:00:00",0,
"2009-06-22 00:00:00",4000,
"2009-06-29 00:00:00",0,
"2009-07-06 00:00:00",0,
"2009-07-13 00:00:00",0,
"2009-07-20 00:00:00",6000,
"2009-07-27 00:00:00",0,
"2009-08-03 00:00:00",5500,
"2009-08-10 00:00:00",0,
"2009-08-17 00:00:00",0,
"2009-08-24 00:00:00",2298.53,
"2009-08-31 00:00:00",0,
"2009-09-07 00:00:00",650,
"2009-09-14 00:00:00",5001,
"2009-09-21 00:00:00",4500,
"2009-09-28 00:00:00",2650,
"2009-10-05 00:00:00",0,
"2009-10-12 00:00:00",13650,
"2009-10-19 00:00:00",30099.76,
"2009-10-26 00:00:00",15050,
"2009-11-02 00:00:00",15500,
"2009-11-09 00:00:00",18500,
"2009-11-16 00:00:00",22500,
"2009-11-23 00:00:00",0,
"2009-11-30 00:00:00",10000.2,
"2009-12-07 00:00:00",8600,
"2009-12-14 00:00:00",21454.35,
"2009-12-21 00:00:00",0,
"2009-12-28 00:00:00",0,
"2010-01-04 00:00:00",20654.35,
"2010-01-11 00:00:00",11349.74,
"2010-01-18 00:00:00",0,
"2010-01-25 00:00:00",7950,
"2010-02-01 00:00:00",15417.8,
"2010-02-08 00:00:00",69682.17,
"2010-02-15 00:00:00",31550.07,
"2010-02-22 00:00:00",40900,
"2010-03-01 00:00:00",59451.31,
"2010-03-08 00:00:00",15184.58,
"2010-03-15 00:00:00",8640,
"2010-03-22 00:00:00",20450,
"2010-03-29 00:00:00",7800,
"2010-04-05 00:00:00",34848.41,
"2010-04-12 00:00:00",68702.71,
"2010-04-19 00:00:00",49994.03,
"2010-04-26 00:00:00",46354.23,
"2010-05-03 00:00:00",69850.26,
"2010-05-10 00:00:00",38446.67,
"2010-05-17 00:00:00",77229.88,
"2010-05-24 00:00:00",59708.28,
"2010-05-31 00:00:00",46507,
"2010-06-07 00:00:00",72147.38,
"2010-06-14 00:00:00",102814.52,
"2010-06-21 00:00:00",48287,
"2010-06-28 00:00:00",103963.77,
"2010-07-05 00:00:00",79359,
"2010-07-12 00:00:00",148248.91,0.017449
"2010-07-19 00:00:00",47635.02,0.067458
"2010-07-26 00:00:00",110376.81,0.060028
"2010-08-02 00:00:00",72607.15,0.060708
"2010-08-09 00:00:00",52917.28,0.066824
"2010-08-16 00:00:00",46717.38,0.066766
"2010-08-23 00:00:00",13450.83,0.064829
"2010-08-30 00:00:00",99430,0.060282
"2010-09-06 00:00:00",72903.4,0.061824
"2010-09-13 00:00:00",116217.52,0.069179
"2010-09-20 00:00:00",103210.07,0.062293
"2010-09-27 00:00:00",248768.25,0.061785
"2010-10-04 00:00:00",345026.46,0.071236
"2010-10-11 00:00:00",222646,0.097143
"2010-10-18 00:00:00",158213.83,0.10885
"2010-10-25 00:00:00",156736.72,0.172685
"2010-11-01 00:00:00",154628.39,0.253757
"2010-11-08 00:00:00",242308.23,0.257043
"2010-11-15 00:00:00",84951.51,0.265743
"2010-11-22 00:00:00",88751.04,0.280264
"2010-11-29 00:00:00",123026.13,0.230557
"2010-12-06 00:00:00",86208.65,0.209279
"2010-12-13 00:00:00",64754.05,0.237621
"2010-12-20 00:00:00",29255.53,0.250921
"2010-12-27 00:00:00",90480.15,0.285657
"2011-01-03 00:00:00",30372.55,0.303864
"2011-01-10 00:00:00",125522.13,0.358971
"2011-01-17 00:00:00",126540.27,0.370064
"2011-01-24 00:00:00",446519.45,0.427464
"2011-01-31 00:00:00",159880.69,0.762264
"2011-02-07 00:00:00",157221.15,0.964764
"2011-02-14 00:00:00",46316.64,0.984764
"2011-02-21 00:00:00",82403.93,0.917486
"2011-02-28 00:00:00",491627.03,0.898164
"2011-03-07 00:00:00",151863.3,0.884657
"2011-03-14 00:00:00",114460.83,0.826429
"2011-03-21 00:00:00",98811.25,0.828879
"2011-03-28 00:00:00",46549.68,0.787243
"2011-04-04 00:00:00",19173.93,0.721943
"2011-04-11 00:00:00",100306.04,0.940979
"2011-04-18 00:00:00",255321.06,1.34
"2011-04-25 00:00:00",425964.32,2.35
"2011-05-02 00:00:00",347420.98,3.45
